マンション名,住所,立地1,立地2,立地3,築年数,建物の高さ,階層,賃料料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積,詳細URL
京成押上線 八広駅 2階建 築5年,東京都墨田区八広４,京成押上線/八広駅 歩10分,東武伊勢崎線/東向島駅 歩12分,東武亀戸線/小村井駅 歩20分,築5年,2階建,2階,1.9万円,5000円,-/-,ワンルーム,7.2m2,https://suumo.jp/chintai/jnc_000062835081/?bc=100221512996
Ｓｙｕｎ　Ｈｏｕｓｅ,東京都板橋区大谷口１,東京メトロ有楽町線/千川駅 歩10分,東京メトロ副都心線/千川駅 歩10分,東武東上線/大山駅 歩14分,築17年,2階建,1階,6.7万円,5000円,6.7万円/6.7万円,1K,22m2,https://suumo.jp/chintai/jnc_000062813929/?bc=100221391511
Toccata,東京都板橋区成増４,東武東上線/成増駅 歩11分,東京メトロ有楽町線/地下鉄成増駅 歩14分,都営三田線/西高島平駅 歩21分,築13年,2階建,2階,6.7万円,4000円,3.35万円/6.7万円,1K,25.02m2,https://suumo.jp/chintai/jnc_000022151659/?bc=100220630319
サンライズ東小岩_102号,東京都江戸川区東小岩４,ＪＲ総武線/小岩駅 歩15分,京成本線/江戸川駅 歩19分,都営新宿線/篠崎駅 バス11分 (バス停)江戸川病院 歩4分,築34年,2階建,1階,6.2万円,2000円,6.2万円/-,2DK,39.66m2,https://suumo.jp/chintai/jnc_000059780800/?bc=100202950055
グラード氷川台II,東京都練馬区早宮１,東京メトロ有楽町線/氷川台駅 歩6分,東京メトロ副都心線/平和台駅 歩14分,都営大江戸線/豊島園駅 歩20分,築3年,2階建,2階,4.95万円,3000円,4.95万円/-,ワンルーム,10.14m2,https://suumo.jp/chintai/jnc_000061290029/?bc=100213333262
グラード氷川台II,東京都練馬区早宮１,東京メトロ有楽町線/氷川台駅 歩6分,東京メトロ副都心線/平和台駅 歩14分,都営大江戸線/豊島園駅 歩20分,築3年,2階建,1階,4.95万円,3000円,4.95万円/-,ワンルーム,9.83m2,https://suumo.jp/chintai/jnc_000061290028/?bc=100213299775
グラード氷川台II,東京都練馬区早宮１,東京メトロ有楽町線/氷川台駅 歩6分,東京メトロ副都心線/平和台駅 歩14分,都営大江戸線/豊島園駅 歩20分,築3年,2階建,2階,5.9万円,3000円,-/-,ワンルーム,9.83m2,https://suumo.jp/chintai/jnc_000055881343/?bc=100211324041
メーヴェｉ,東京都板橋区徳丸２,東武東上線/東武練馬駅 歩4分,東武東上線/下赤塚駅 歩19分,東京メトロ有楽町線/地下鉄赤塚駅 歩21分,築3年,2階建,1階,6.5万円,2000円,-/-,1K,20.04m2,https://suumo.jp/chintai/jnc_000062645766/?bc=100220373789
メーヴェｉ,東京都板橋区徳丸２,東武東上線/東武練馬駅 歩4分,東武東上線/下赤塚駅 歩19分,東京メトロ有楽町線/地下鉄赤塚駅 歩21分,築3年,2階建,2階,6.8万円,2000円,-/-,ワンルーム,23.06m2,https://suumo.jp/chintai/jnc_000046408989/?bc=100221426287
メーヴェｉ,東京都板橋区徳丸２,東武東上線/東武練馬駅 歩4分,東武東上線/下赤塚駅 歩19分,東京メトロ有楽町線/地下鉄赤塚駅 歩21分,築3年,2階建,2階,6.9万円,2000円,6.9万円/6.9万円,ワンルーム,20.34m2,https://suumo.jp/chintai/jnc_000061592948/?bc=100214862320
ＪＲ総武線 小岩駅 3階建 築20年,東京都江戸川区東小岩１,ＪＲ総武線/小岩駅 歩20分,京成本線/江戸川駅 歩24分,ＪＲ総武線/市川駅 歩38分,築20年,3階建,2階,8.5万円,-,8.5万円/-,2DK,40.6m2,https://suumo.jp/chintai/jnc_000057622314/?bc=100221409719
南２丁目アパート,東京都目黒区南２,東急大井町線/大岡山駅 歩13分,東急東横線/都立大学駅 歩14分,東急目黒線/洗足駅 歩15分,築36年,2階建,2階,8.7万円,-,8.7万円/8.7万円,1DK,32m2,https://suumo.jp/chintai/jnc_000062172153/?bc=100221504112
小田急線 経堂駅 2階建 築6年,東京都世田谷区宮坂２,小田急線/経堂駅 歩6分,小田急線/豪徳寺駅 歩8分,東急世田谷線/宮の坂駅 歩8分,築6年,2階建,2階,9万円,4000円,9万円/-,1K,18.49m2,https://suumo.jp/chintai/jnc_000062752380/?bc=100216578490
小田急線 経堂駅 2階建 築6年,東京都世田谷区宮坂２,小田急線/経堂駅 歩6分,小田急線/豪徳寺駅 歩8分,東急世田谷線/宮の坂駅 歩8分,築6年,2階建,2階,10.4万円,4000円,10.4万円/-,1K,20.7m2,https://suumo.jp/chintai/jnc_000062731813/?bc=100221121130
都営三田線 本蓮沼駅 2階建 築6年,東京都北区西が丘１,都営三田線/本蓮沼駅 歩9分,都営三田線/板橋本町駅 歩16分,ＪＲ埼京線/赤羽駅 歩17分,築6年,2階建,2階,6.2万円,3000円,-/6.2万円,ワンルーム,17.65m2,https://suumo.jp/chintai/jnc_000061435147/?bc=100220035262
都営三田線 本蓮沼駅 2階建 築6年,東京都北区西が丘１,都営三田線/本蓮沼駅 歩9分,都営三田線/板橋本町駅 歩16分,ＪＲ埼京線/赤羽駅 歩17分,築6年,2階建,2階,6.2万円,3000円,-/-,ワンルーム,15.17m2,https://suumo.jp/chintai/jnc_000031782163/?bc=100214404999
八雲第10番,東京都目黒区八雲３,東急東横線/自由が丘駅 歩12分,東急東横線/都立大学駅 歩15分,東急大井町線/九品仏駅 歩17分,築27年,2階建,1階,5.8万円,5000円,-/-,1K,15.99m2,https://suumo.jp/chintai/jnc_000062432639/?bc=100220194357
八雲第10番,東京都目黒区八雲３,東急東横線/自由が丘駅 歩12分,東急東横線/都立大学駅 歩15分,東急大井町線/九品仏駅 歩17分,築27年,2階建,1階,5.9万円,5000円,-/-,1K,15.51m2,https://suumo.jp/chintai/jnc_000062432636/?bc=100188225491
八雲第10番,東京都目黒区八雲３,東急東横線/自由が丘駅 歩12分,東急東横線/都立大学駅 歩15分,東急大井町線/九品仏駅 歩17分,築27年,2階建,1階,5.9万円,5000円,-/-,1K,15.51m2,https://suumo.jp/chintai/jnc_000062432638/?bc=100220194400
八雲第10番,東京都目黒区八雲３,東急東横線/自由が丘駅 歩12分,東急東横線/都立大学駅 歩15分,東急大井町線/九品仏駅 歩17分,築27年,2階建,2階,6万円,5000円,-/-,1K,15.51m2,https://suumo.jp/chintai/jnc_000061447687/?bc=100003183520
八雲第10番,東京都目黒区八雲３,東急東横線/自由が丘駅 歩12分,東急東横線/都立大学駅 歩15分,東急大井町線/九品仏駅 歩17分,築27年,2階建,2階,6万円,5000円,-/-,1K,15.51m2,https://suumo.jp/chintai/jnc_000061447688/?bc=100199414857
八雲第10番,東京都目黒区八雲３,東急東横線/自由が丘駅 歩12分,東急東横線/都立大学駅 歩15分,東急大井町線/九品仏駅 歩17分,築27年,2階建,1階,6万円,5000円,-/-,1K,15.51m2,https://suumo.jp/chintai/jnc_000062432637/?bc=100194059530
八雲第10番,東京都目黒区八雲３,東急東横線/自由が丘駅 歩12分,東急東横線/都立大学駅 歩15分,東急大井町線/九品仏駅 歩17分,築27年,2階建,2階,6.1万円,5000円,-/-,1K,15.51m2,https://suumo.jp/chintai/jnc_000061447689/?bc=100188294594
八雲第10番,東京都目黒区八雲３,東急東横線/自由が丘駅 歩12分,東急東横線/都立大学駅 歩15分,東急大井町線/九品仏駅 歩17分,築27年,2階建,2階,6.1万円,5000円,-/-,1K,15.51m2,https://suumo.jp/chintai/jnc_000062823524/?bc=100221444068
セラ上池袋,東京都豊島区上池袋３,東武東上線/北池袋駅 歩4分,ＪＲ埼京線/板橋駅 歩10分,ＪＲ山手線/池袋駅 歩17分,築5年,2階建,2階,6.2万円,3500円,-/6.2万円,ワンルーム,11.55m2,https://suumo.jp/chintai/jnc_000019887400/?bc=100220134327
セラ上池袋,東京都豊島区上池袋３,東武東上線/北池袋駅 歩4分,ＪＲ埼京線/板橋駅 歩10分,ＪＲ山手線/池袋駅 歩17分,築5年,2階建,2階,6.3万円,3500円,-/6.3万円,ワンルーム,11.55m2,https://suumo.jp/chintai/jnc_000019887401/?bc=100216524614
セラ上池袋,東京都豊島区上池袋３,東武東上線/北池袋駅 歩4分,ＪＲ埼京線/板橋駅 歩10分,ＪＲ山手線/池袋駅 歩17分,築5年,2階建,2階,6.3万円,3500円,-/6.3万円,ワンルーム,11.55m2,https://suumo.jp/chintai/jnc_000062797101/?bc=100221290799
バーミープレイス王子,東京都北区岸町１,東京メトロ南北線/王子駅 歩9分,ＪＲ京浜東北線/東十条駅 歩12分,ＪＲ埼京線/十条駅 歩15分,築8年,2階建,1階,6.1万円,3000円,-/-,ワンルーム,16.36m2,https://suumo.jp/chintai/jnc_000025419171/?bc=100211901998
エルバフラウト,東京都世田谷区祖師谷１,小田急線/祖師ヶ谷大蔵駅 歩7分,小田急線/成城学園前駅 歩18分,小田急線/千歳船橋駅 歩19分,築9年,2階建,2階,8.2万円,3000円,-/8.2万円,1K,23.54m2,https://suumo.jp/chintai/jnc_000062132145/?bc=100213970742
エルバフラウト,東京都世田谷区祖師谷１,小田急線/祖師ヶ谷大蔵駅 歩7分,小田急線/成城学園前駅 歩18分,小田急線/千歳船橋駅 歩19分,築9年,2階建,2階,8.35万円,3000円,-/8.35万円,1K,23.54m2,https://suumo.jp/chintai/jnc_000060255056/?bc=100204224354
エルバフラウト,東京都世田谷区祖師谷１,小田急線/祖師ヶ谷大蔵駅 歩7分,小田急線/成城学園前駅 歩18分,小田急線/千歳船橋駅 歩19分,築9年,2階建,2階,8.45万円,3000円,-/8.45万円,1K,23.54m2,https://suumo.jp/chintai/jnc_000061326200/?bc=100213834182
セレ白金,東京都港区白金３,東京メトロ南北線/白金高輪駅 歩9分,東京メトロ日比谷線/広尾駅 歩16分,ＪＲ山手線/恵比寿駅 歩26分,築17年,2階建,1階,9.8万円,5000円,-/-,1K,25.25m2,https://suumo.jp/chintai/jnc_000016180341/?bc=100212824198
セレ白金,東京都港区白金３,東京メトロ南北線/白金高輪駅 歩9分,東京メトロ日比谷線/広尾駅 歩16分,ＪＲ山手線/恵比寿駅 歩26分,築17年,2階建,2-0階,10万円,5000円,-/-,1K,28.56m2,https://suumo.jp/chintai/jnc_000062817783/?bc=100221398971
あまんと　レン,東京都大田区萩中１,京急空港線/糀谷駅 歩9分,京急本線/雑色駅 歩15分,京急本線/京急蒲田駅 歩16分,新築,2階建,2階,11.6万円,5000円,11.6万円/11.6万円,1LDK,40.92m2,https://suumo.jp/chintai/jnc_000062835323/?bc=100221516538
あまんと　レン,東京都大田区萩中１,京急空港線/糀谷駅 歩9分,京急本線/雑色駅 歩15分,京急本線/京急蒲田駅 歩16分,新築,2階建,2階,11.8万円,5000円,11.8万円/11.8万円,1LDK,40.64m2,https://suumo.jp/chintai/jnc_000062835322/?bc=100221508197
メイフラットII,東京都練馬区田柄１,東京メトロ有楽町線/平和台駅 歩10分,都営大江戸線/練馬春日町駅 歩17分,東武東上線/下赤塚駅 歩17分,築17年,2階建,1階,7.5万円,3500円,-/5万円,1K,25.36m2,https://suumo.jp/chintai/jnc_000051047809/?bc=100220912585
メイフラットII,東京都練馬区田柄１,東京メトロ有楽町線/平和台駅 歩10分,都営大江戸線/練馬春日町駅 歩17分,東武東上線/下赤塚駅 歩17分,築17年,2階建,1階,7.6万円,3500円,-/5万円,1K,26.52m2,https://suumo.jp/chintai/jnc_000062399853/?bc=100220071027
メイフラットII,東京都練馬区田柄１,東京メトロ有楽町線/平和台駅 歩10分,都営大江戸線/練馬春日町駅 歩17分,東武東上線/下赤塚駅 歩17分,築17年,2階建,1階,7.6万円,4000円,-/5万円,1K,26.52m2,https://suumo.jp/chintai/jnc_000062375034/?bc=100219371149
メイフラットII,東京都練馬区田柄１,東京メトロ有楽町線/平和台駅 歩10分,都営大江戸線/練馬春日町駅 歩17分,東武東上線/下赤塚駅 歩17分,築17年,2階建,1階,7.6万円,35000円,-/5万円,1K,26.52m2,https://suumo.jp/chintai/jnc_000062804634/?bc=100221343454
クレストコート,東京都板橋区徳丸２,東武東上線/東武練馬駅 歩4分,東京メトロ有楽町線/地下鉄赤塚駅 歩23分,東京メトロ有楽町線/平和台駅 歩29分,築1年,3階建,1階,6.6万円,3000円,6.6万円/6.6万円,1K,18.89m2,https://suumo.jp/chintai/jnc_000062718465/?bc=100212130507
クレストコート,東京都板橋区徳丸２,東武東上線/東武練馬駅 歩4分,東京メトロ有楽町線/地下鉄赤塚駅 歩23分,東京メトロ有楽町線/平和台駅 歩29分,築1年,3階建,3階,6.6万円,3000円,6.6万円/6.6万円,ワンルーム,16.08m2,https://suumo.jp/chintai/jnc_000062698887/?bc=100221284637
スカイハイツ,東京都中野区江原町３,都営大江戸線/新江古田駅 歩8分,西武池袋線/東長崎駅 歩9分,都営大江戸線/落合南長崎駅 歩15分,築34年,2階建,1階,5.5万円,1000円,5.5万円/5.5万円,1K,20m2,https://suumo.jp/chintai/jnc_000062829269/?bc=100221474314
レオパレス大谷田,東京都足立区大谷田４,東京メトロ千代田線/北綾瀬駅 歩12分,,,築18年,2階建,2階,5.7万円,5000円,-/5.7万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000062823786/?bc=100221433505
東京メトロ千代田線 北千住駅 2階建 築5年,東京都足立区千住龍田町,東京メトロ千代田線/北千住駅 歩12分,京成本線/千住大橋駅 歩15分,都電荒川線/荒川七丁目駅 歩30分,築5年,2階建,2階,7.3万円,-,7.3万円/7.3万円,ワンルーム,18.95m2,https://suumo.jp/chintai/jnc_000020733980/?bc=100221488238
リーブル柿の木坂,東京都目黒区柿の木坂２,東急東横線/学芸大学駅 歩13分,東急東横線/都立大学駅 歩16分,ＪＲ山手線/恵比寿駅 バス19分 (バス停)碑文谷呑川 歩3分,築27年,2階建,2階,7.6万円,-,7.6万円/7.6万円,1K,25m2,https://suumo.jp/chintai/jnc_000062796770/?bc=100221287332
リーブル柿の木坂,東京都目黒区柿の木坂２,東急東横線/学芸大学駅 歩13分,東急東横線/都立大学駅 歩16分,ＪＲ山手線/恵比寿駅 バス19分 (バス停)碑文谷呑川 歩3分,築27年,2階建,2階,7.8万円,-,7.8万円/7.8万円,1DK,25m2,https://suumo.jp/chintai/jnc_000059739788/?bc=100199708050
ＪＲ京浜東北線 王子駅 2階建 築8年,東京都北区岸町１,ＪＲ京浜東北線/王子駅 歩9分,東京メトロ南北線/王子神谷駅 歩15分,ＪＲ埼京線/十条駅 歩15分,築8年,2階建,1階,6.1万円,3000円,-/-,ワンルーム,16.36m2,https://suumo.jp/chintai/jnc_000025407843/?bc=100212002969
東急田園都市線 桜新町駅 3階建 築3年,東京都世田谷区弦巻１,東急田園都市線/桜新町駅 歩12分,東急田園都市線/駒沢大学駅 歩13分,東急世田谷線/松陰神社前駅 歩14分,築3年,3階建,1階,7.3万円,10000円,-/7.3万円,ワンルーム,20.6m2,https://suumo.jp/chintai/jnc_000062517201/?bc=100220033355
東急田園都市線 桜新町駅 3階建 築3年,東京都世田谷区弦巻１,東急田園都市線/桜新町駅 歩12分,東急田園都市線/駒沢大学駅 歩13分,東急世田谷線/松陰神社前駅 歩14分,築3年,3階建,2階,8.3万円,10000円,-/8.3万円,ワンルーム,30.01m2,https://suumo.jp/chintai/jnc_000062510367/?bc=100219940523
東急田園都市線 桜新町駅 3階建 築3年,東京都世田谷区弦巻１,東急田園都市線/桜新町駅 歩12分,東急田園都市線/駒沢大学駅 歩13分,東急世田谷線/松陰神社前駅 歩14分,築3年,3階建,1-3階,12万円,10000円,-/12万円,1LDK,46.63m2,https://suumo.jp/chintai/jnc_000062670694/?bc=100220565299
東急田園都市線 桜新町駅 3階建 築3年,東京都世田谷区弦巻１,東急田園都市線/桜新町駅 歩12分,東急田園都市線/駒沢大学駅 歩13分,東急世田谷線/松陰神社前駅 歩14分,築3年,3階建,2-3階,12万円,10000円,-/12万円,1LDK,45.04m2,https://suumo.jp/chintai/jnc_000061388947/?bc=100215479209
東急東横線 学芸大学駅 2階建 築36年,東京都目黒区碑文谷２,東急東横線/学芸大学駅 歩12分,東急東横線/都立大学駅 歩19分,東急目黒線/西小山駅 歩18分,築36年,2階建,2階,6.5万円,-,-/-,1DK,26.82m2,https://suumo.jp/chintai/jnc_000061723342/?bc=100221260012
レオパレスクレストヒルズＫ２,東京都板橋区前野町３,都営三田線/志村坂上駅 歩10分,都営三田線/本蓮沼駅 歩11分,,築17年,2階建,1階,5.9万円,5000円,-/5.9万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000061821661/?bc=100186639372
レオパレスクレストヒルズＫ２,東京都板橋区前野町３,都営三田線/志村坂上駅 歩10分,都営三田線/本蓮沼駅 歩11分,,築17年,2階建,1階,5.9万円,5000円,-/5.9万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000061739135/?bc=100206471949
レオパレスクレストヒルズＫ２,東京都板橋区前野町３,都営三田線/志村坂上駅 歩10分,都営三田線/本蓮沼駅 歩11分,,築17年,2階建,1階,6万円,5000円,-/6万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000061821660/?bc=100191535150
レオパレスクレストヒルズＫ２,東京都板橋区前野町３,都営三田線/志村坂上駅 歩10分,都営三田線/本蓮沼駅 歩11分,,築17年,2階建,1階,6万円,5000円,-/6万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000049927034/?bc=100204369583
レオパレスクレストヒルズＫ２,東京都板橋区前野町３,都営三田線/志村坂上駅 歩10分,都営三田線/本蓮沼駅 歩11分,,築17年,2階建,2階,6.2万円,5000円,-/6.2万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000042549244/?bc=100221093284
レオパレスクレストヒルズＫ２,東京都板橋区前野町３,都営三田線/志村坂上駅 歩10分,都営三田線/本蓮沼駅 歩11分,,築17年,2階建,2階,6.2万円,5000円,-/6.2万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000043035872/?bc=100221331444
レオパレスクレストヒルズＫ２,東京都板橋区前野町３,都営三田線/志村坂上駅 歩10分,都営三田線/本蓮沼駅 歩11分,,築17年,2階建,2階,6.3万円,5000円,-/6.3万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000061739136/?bc=100179730435
都営三田線 志村坂上駅 2階建 築17年,東京都板橋区前野町３,都営三田線/志村坂上駅 歩10分,都営三田線/本蓮沼駅 歩11分,都営三田線/志村三丁目駅 歩17分,築17年,2階建,1階,5.9万円,5000円,-/5.9万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000061840748/?bc=100220305705
都営三田線 志村坂上駅 2階建 築17年,東京都板橋区前野町３,都営三田線/志村坂上駅 歩10分,都営三田線/本蓮沼駅 歩11分,都営三田線/志村三丁目駅 歩17分,築17年,2階建,1階,5.9万円,5000円,-/5.9万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000061897478/?bc=100216646561
都営三田線 志村坂上駅 2階建 築17年,東京都板橋区前野町３,都営三田線/志村坂上駅 歩10分,都営三田線/本蓮沼駅 歩11分,都営三田線/志村三丁目駅 歩17分,築17年,2階建,1階,6万円,5000円,-/6万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000049927035/?bc=100216633328
都営三田線 志村坂上駅 2階建 築17年,東京都板橋区前野町３,都営三田線/志村坂上駅 歩10分,都営三田線/本蓮沼駅 歩11分,都営三田線/志村三丁目駅 歩17分,築17年,2階建,1階,6万円,5000円,-/6万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000061840747/?bc=100220305717
都営三田線 志村坂上駅 2階建 築17年,東京都板橋区前野町３,都営三田線/志村坂上駅 歩10分,都営三田線/本蓮沼駅 歩11分,都営三田線/志村三丁目駅 歩17分,築17年,2階建,2階,6.2万円,5000円,-/6.2万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000045338553/?bc=100221355563
都営三田線 志村坂上駅 2階建 築17年,東京都板橋区前野町３,都営三田線/志村坂上駅 歩10分,都営三田線/本蓮沼駅 歩11分,都営三田線/志村三丁目駅 歩17分,築17年,2階建,2階,6.2万円,5000円,-/6.2万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000062763582/?bc=100221094647
都営三田線 志村坂上駅 2階建 築17年,東京都板橋区前野町３,都営三田線/志村坂上駅 歩10分,都営三田線/本蓮沼駅 歩11分,都営三田線/志村三丁目駅 歩17分,築17年,2階建,2階,6.3万円,5000円,-/6.3万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000061897479/?bc=100216694957
東急東横線 学芸大学駅 2階建 築36年,東京都目黒区碑文谷２,東急東横線/学芸大学駅 歩12分,東急東横線/都立大学駅 歩19分,東急目黒線/西小山駅 歩18分,築36年,2階建,2階,6.5万円,-,-/-,1DK,26.82m2,https://suumo.jp/chintai/jnc_000061723342/?bc=100221260012
京王線 明大前駅 3階建 築6年,東京都世田谷区松原１,京王線/明大前駅 歩6分,京王井の頭線/東松原駅 歩5分,京王井の頭線/新代田駅 歩13分,築6年,3階建,2階,8.7万円,3000円,-/-,1K,23.54m2,https://suumo.jp/chintai/jnc_000046975090/?bc=100219573337
レオパレス大谷田,東京都足立区大谷田４,東京メトロ千代田線/北綾瀬駅 歩12分,,,築18年,2階建,2階,5.7万円,5000円,-/5.7万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000062823786/?bc=100221433505
ＪＲ京浜東北線 王子駅 2階建 築8年,東京都北区岸町１,ＪＲ京浜東北線/王子駅 歩9分,東京メトロ南北線/王子神谷駅 歩15分,ＪＲ埼京線/十条駅 歩15分,築8年,2階建,1階,6.1万円,3000円,-/-,ワンルーム,16.36m2,https://suumo.jp/chintai/jnc_000025407843/?bc=100212002969
コーポ司,東京都江戸川区上一色２,ＪＲ総武線/小岩駅 歩16分,ＪＲ総武線/新小岩駅 歩24分,京成本線/京成小岩駅 歩31分,築38年,2階建,2階,6.7万円,-,6.7万円/-,2DK,34.4m2,https://suumo.jp/chintai/jnc_000038303084/?bc=100207349792
コーポ司,東京都江戸川区上一色２,ＪＲ総武線/小岩駅 歩16分,ＪＲ総武線/新小岩駅 歩24分,京成本線/京成小岩駅 歩31分,築38年,2階建,2階,6.8万円,-,6.8万円/-,2DK,34.4m2,https://suumo.jp/chintai/jnc_000031009977/?bc=100214748420
ＪＲ総武線 小岩駅 2階建 築36年,東京都江戸川区上一色２,ＪＲ総武線/小岩駅 歩15分,,,築36年,2階建,2階,6.7万円,-,6.7万円/-,2DK,34.4m2,https://suumo.jp/chintai/jnc_000038292340/?bc=100221154571
ＪＲ総武線 小岩駅 2階建 築36年,東京都江戸川区上一色２,ＪＲ総武線/小岩駅 歩15分,,,築36年,2階建,2階,6.8万円,-,6.8万円/-,2DK,34.4m2,https://suumo.jp/chintai/jnc_000059327705/?bc=100216928816
DHG咲,東京都渋谷区笹塚１,京王線/笹塚駅 歩3分,京王新線/幡ヶ谷駅 歩13分,小田急線/東北沢駅 歩15分,築7年,2階建,1階,6.2万円,3500円,-/6.2万円,ワンルーム,11.79m2,https://suumo.jp/chintai/jnc_000062835530/?bc=100221504727
京王線 笹塚駅 2階建 築7年,東京都渋谷区笹塚２,京王線/笹塚駅 歩3分,小田急線/東北沢駅 歩18分,東京メトロ千代田線/代々木上原駅 歩23分,築7年,2階建,1階,6.2万円,3500円,-/6.2万円,ワンルーム,11.79m2,https://suumo.jp/chintai/jnc_000045198343/?bc=100221517110
東京メトロ千代田線 北千住駅 2階建 築5年,東京都足立区千住龍田町,東京メトロ千代田線/北千住駅 歩12分,京成本線/千住大橋駅 歩15分,都電荒川線/荒川七丁目駅 歩30分,築5年,2階建,2階,7.3万円,-,7.3万円/7.3万円,ワンルーム,18.95m2,https://suumo.jp/chintai/jnc_000020733980/?bc=100221488238
都営新宿線 篠崎駅 3階建 築30年,東京都江戸川区篠崎町７,都営新宿線/篠崎駅 歩5分,都営新宿線/瑞江駅 歩24分,都営新宿線/一之江駅 歩39分,築30年,3階建,2階,5.5万円,-,-/-,ワンルーム,20m2,https://suumo.jp/chintai/jnc_000036850022/?bc=100221391910
レジデンス赤羽,東京都北区赤羽西２,ＪＲ京浜東北線/赤羽駅 歩9分,東京メトロ南北線/赤羽岩淵駅 歩17分,東京メトロ南北線/志茂駅 歩19分,築4年,2階建,2階,6.05万円,3500円,-/6.05万円,ワンルーム,10.01m2,https://suumo.jp/chintai/jnc_000028875770/?bc=100219072164
スカイハイツ,東京都中野区江原町３,都営大江戸線/新江古田駅 歩8分,西武池袋線/東長崎駅 歩9分,都営大江戸線/落合南長崎駅 歩15分,築34年,2階建,1階,5.5万円,1000円,5.5万円/5.5万円,1K,20m2,https://suumo.jp/chintai/jnc_000062829269/?bc=100221474314
Ange・House NUKUI,東京都練馬区貫井４,西武池袋線/富士見台駅 歩8分,西武池袋線/中村橋駅 歩12分,都営大江戸線/練馬春日町駅 歩21分,築4年,2階建,1階,5.4万円,3000円,-/-,ワンルーム,11.41m2,https://suumo.jp/chintai/jnc_000033786643/?bc=100216139341
Ange・House NUKUI,東京都練馬区貫井４,西武池袋線/富士見台駅 歩8分,西武池袋線/中村橋駅 歩12分,都営大江戸線/練馬春日町駅 歩21分,築4年,2階建,1階,5.5万円,3000円,-/-,ワンルーム,11.41m2,https://suumo.jp/chintai/jnc_000033380825/?bc=100187598012
Ange・House NUKUI,東京都練馬区貫井４,西武池袋線/富士見台駅 歩8分,西武池袋線/中村橋駅 歩12分,都営大江戸線/練馬春日町駅 歩21分,築4年,2階建,1階,5.7万円,3000円,-/-,ワンルーム,11.41m2,https://suumo.jp/chintai/jnc_000054404267/?bc=100216491056
Ange・House NUKUI,東京都練馬区貫井４,西武池袋線/富士見台駅 歩8分,西武池袋線/中村橋駅 歩12分,都営大江戸線/練馬春日町駅 歩21分,築4年,2階建,2階,6万円,3000円,-/-,ワンルーム,15.58m2,https://suumo.jp/chintai/jnc_000033408022/?bc=100208703164
ドミール滝野川2,東京都北区滝野川６,ＪＲ埼京線/板橋駅 歩5分,都営三田線/新板橋駅 歩6分,都営三田線/西巣鴨駅 歩9分,築18年,2階建,1階,6.5万円,2000円,6.5万円/6.5万円,ワンルーム,22.14m2,https://suumo.jp/chintai/jnc_000049265201/?bc=100221503712
ウイングホウジュン,東京都豊島区池袋３,ＪＲ山手線/池袋駅 歩12分,東京メトロ有楽町線/要町駅 歩12分,東京メトロ副都心線/池袋駅 歩11分,築11年,3階建,3階,10.8万円,3000円,-/-,1K,30.03m2,https://suumo.jp/chintai/jnc_000061821494/?bc=100216104262
都営新宿線 篠崎駅 2階建 築44年,東京都江戸川区谷河内２,都営新宿線/篠崎駅 歩10分,都営新宿線/瑞江駅 歩15分,,築44年,2階建,2階,5.9万円,3000円,5.9万円/-,2DK,32.22m2,https://suumo.jp/chintai/jnc_000059337500/?bc=100218734372
都営新宿線 篠崎駅 2階建 築44年,東京都江戸川区谷河内２,都営新宿線/篠崎駅 歩10分,都営新宿線/瑞江駅 歩15分,,築44年,2階建,2階,5.9万円,3000円,5.9万円/-,2K,30m2,https://suumo.jp/chintai/jnc_000062814063/?bc=100221391600
ＦＬＡＴ　ＴＥＮＪＩＮII,東京都足立区本木１,東武伊勢崎線/西新井駅 歩22分,,,築8年,3階建,2階,8.7万円,6100円,-/-,1LDK,38m2,https://suumo.jp/chintai/jnc_000061365467/?bc=100221184464
リリックコート梅田,東京都足立区梅田３,東武伊勢崎線/梅島駅 歩12分,東武伊勢崎線/五反野駅 歩19分,東武伊勢崎線/西新井駅 歩23分,築18年,2階建,1階,5.5万円,3000円,-/-,1K,20.96m2,https://suumo.jp/chintai/jnc_000060847422/?bc=100200188643
リリックコート梅田,東京都足立区梅田３,東武伊勢崎線/梅島駅 歩12分,東武伊勢崎線/五反野駅 歩19分,東武伊勢崎線/西新井駅 歩23分,築18年,2階建,1階,5.6万円,3000円,-/-,1K,21.22m2,https://suumo.jp/chintai/jnc_000061524630/?bc=100214640279
