マンション名,住所,立地1,立地2,立地3,築年数,建物の高さ,階層,賃料料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積,詳細URL
西武新宿線 下井草駅 2階建 築7年,東京都中野区鷺宮６,西武新宿線/下井草駅 歩6分,西武新宿線/井荻駅 歩15分,西武池袋線/富士見台駅 歩19分,築7年,2階建,1階,9.9万円,5000円,4.95万円/4.95万円,1DK,31.56m2,https://suumo.jp/chintai/jnc_000060495347/?bc=100209306483
グレイスランド,東京都足立区谷在家３,日暮里・舎人ライナー/谷在家駅 歩4分,日暮里・舎人ライナー/西新井大師西駅 歩10分,日暮里・舎人ライナー/江北駅 歩20分,築9年,3階建,3階,8.7万円,5300円,-/-,1LDK,37.81m2,https://suumo.jp/chintai/jnc_000062324860/?bc=100218974652
M-SQUARE,東京都荒川区荒川５,京成本線/新三河島駅 歩3分,東京メトロ千代田線/町屋駅 歩7分,ＪＲ山手線/西日暮里駅 歩14分,築3年,3階建,2階,7.3万円,3500円,-/-,ワンルーム,19.89m2,https://suumo.jp/chintai/jnc_000045755197/?bc=100214111689
M-SQUARE,東京都荒川区荒川５,京成本線/新三河島駅 歩3分,東京メトロ千代田線/町屋駅 歩7分,ＪＲ山手線/西日暮里駅 歩14分,築3年,3階建,1階,7.5万円,2000円,-/-,ワンルーム,19.68m2,https://suumo.jp/chintai/jnc_000059101430/?bc=100207041133
Court Blanche,東京都荒川区荒川３,都電荒川線/荒川区役所前駅 歩5分,ＪＲ常磐線/三河島駅 歩11分,東京メトロ日比谷線/三ノ輪駅 歩13分,築3年,3階建,1階,7.1万円,4000円,-/-,ワンルーム,20m2,https://suumo.jp/chintai/jnc_000043921529/?bc=100220309646
MELDIA綾瀬,東京都葛飾区小菅１,東武伊勢崎線/小菅駅 歩5分,ＪＲ常磐線/綾瀬駅 歩16分,東武伊勢崎線/五反野駅 歩19分,築2年,3階建,2階,6.2万円,3000円,3.1万円/-,1K,18.13m2,https://suumo.jp/chintai/jnc_000058247875/?bc=100217905554
Peony豊明,東京都足立区扇３,日暮里・舎人ライナー/高野駅 歩5分,日暮里・舎人ライナー/扇大橋駅 歩8分,東武大師線/大師前駅 歩23分,築6年,3階建,2階,9.9万円,5300円,-/4.95万円,1LDK,46.12m2,https://suumo.jp/chintai/jnc_000062090624/?bc=100217526993
ブランドール,東京都荒川区町屋１,東京メトロ千代田線/町屋駅 歩10分,京成本線/新三河島駅 歩22分,日暮里・舎人ライナー/熊野前駅 歩22分,築16年,3階建,3階,7.4万円,3500円,3.7万円/7.4万円,1K,26.71m2,https://suumo.jp/chintai/jnc_000062691348/?bc=100216476509
ブランドール,東京都荒川区町屋１,東京メトロ千代田線/町屋駅 歩10分,京成本線/新三河島駅 歩22分,日暮里・舎人ライナー/熊野前駅 歩22分,築16年,3階建,3階,7.4万円,3500円,3.7万円/7.4万円,1K,26.71m2,https://suumo.jp/chintai/jnc_000062691349/?bc=100220745053
ブランドール,東京都荒川区町屋１,東京メトロ千代田線/町屋駅 歩10分,京成本線/新三河島駅 歩22分,日暮里・舎人ライナー/熊野前駅 歩22分,築16年,3階建,3階,7.5万円,3500円,3.75万円/7.5万円,1K,26.71m2,https://suumo.jp/chintai/jnc_000062411057/?bc=100220948112
ブランドール,東京都荒川区町屋１,東京メトロ千代田線/町屋駅 歩10分,京成本線/新三河島駅 歩22分,日暮里・舎人ライナー/熊野前駅 歩22分,築16年,3階建,3階,7.5万円,3500円,3.75万円/7.5万円,1K,26.71m2,https://suumo.jp/chintai/jnc_000040221278/?bc=100220864799
ブランドール,東京都荒川区町屋１,東京メトロ千代田線/町屋駅 歩10分,京成本線/新三河島駅 歩22分,日暮里・舎人ライナー/熊野前駅 歩22分,築16年,3階建,3階,7.6万円,3500円,3.8万円/7.6万円,1K,26.71m2,https://suumo.jp/chintai/jnc_000040617619/?bc=100214996534
ブランドール,東京都荒川区町屋１,東京メトロ千代田線/町屋駅 歩10分,京成本線/新三河島駅 歩22分,日暮里・舎人ライナー/熊野前駅 歩22分,築16年,3階建,3階,7.6万円,3500円,3.8万円/7.6万円,1K,26.71m2,https://suumo.jp/chintai/jnc_000040110404/?bc=100211231175
アネックスII,東京都足立区南花畑３,つくばエクスプレス/六町駅 歩12分,東京メトロ千代田線/北綾瀬駅 歩26分,つくばエクスプレス/青井駅 歩28分,築2年,2階建,1階,10.8万円,5500円,-/10.8万円,2LDK,51.6m2,https://suumo.jp/chintai/jnc_000062829557/?bc=100221475333
ＪＲ山手線 西日暮里駅 3階建 築6年,東京都荒川区西日暮里１,ＪＲ山手線/西日暮里駅 歩9分,ＪＲ山手線/日暮里駅 歩11分,東京メトロ千代田線/町屋駅 歩12分,築6年,3階建,1階,6.8万円,3000円,6.8万円/6.8万円,ワンルーム,17.11m2,https://suumo.jp/chintai/jnc_000025811437/?bc=100221267652
南千住ハウス,東京都荒川区南千住５,東京メトロ日比谷線/三ノ輪駅 歩4分,ＪＲ常磐線/南千住駅 歩6分,ＪＲ常磐線/三河島駅 バス9分 (バス停)大関横丁 歩7分,築4年,3階建,3階,6.1万円,3000円,-/-,ワンルーム,13.4m2,https://suumo.jp/chintai/jnc_000062676586/?bc=100220630204
南千住ハウス,東京都荒川区南千住５,東京メトロ日比谷線/三ノ輪駅 歩4分,ＪＲ常磐線/南千住駅 歩6分,ＪＲ常磐線/三河島駅 バス9分 (バス停)大関横丁 歩7分,築4年,3階建,3階,6.1万円,3000円,-/-,ワンルーム,13.4m2,https://suumo.jp/chintai/jnc_000059458491/?bc=100221390189
南千住ハウス,東京都荒川区南千住５,東京メトロ日比谷線/三ノ輪駅 歩4分,ＪＲ常磐線/南千住駅 歩6分,ＪＲ常磐線/三河島駅 バス9分 (バス停)大関横丁 歩7分,築4年,3階建,3階,6.1万円,3000円,-/-,ワンルーム,13.4m2,https://suumo.jp/chintai/jnc_000062682853/?bc=100220581510
南千住ハウス,東京都荒川区南千住５,東京メトロ日比谷線/三ノ輪駅 歩4分,ＪＲ常磐線/南千住駅 歩6分,ＪＲ常磐線/三河島駅 バス9分 (バス停)大関横丁 歩7分,築4年,3階建,1階,6.5万円,3000円,-/-,ワンルーム,16.5m2,https://suumo.jp/chintai/jnc_000050970333/?bc=100218205180
南千住ハウス,東京都荒川区南千住５,東京メトロ日比谷線/三ノ輪駅 歩4分,ＪＲ常磐線/南千住駅 歩6分,ＪＲ常磐線/三河島駅 バス9分 (バス停)大関横丁 歩7分,築4年,3階建,1階,6.5万円,3000円,-/-,ワンルーム,16.5m2,https://suumo.jp/chintai/jnc_000062663532/?bc=100220477854
